,rates,start_at,base,end_at
2014-07-24,{'USD': 0.07726188290000001},2013-08-31,MXN,2018-09-01
2014-07-25,{'USD': 0.0771695318},2013-08-31,MXN,2018-09-01
2014-07-28,{'USD': 0.077160352},2013-08-31,MXN,2018-09-01
2014-07-29,{'USD': 0.0768416475},2013-08-31,MXN,2018-09-01
2014-07-30,{'USD': 0.076443912},2013-08-31,MXN,2018-09-01
2014-07-31,{'USD': 0.0758640243},2013-08-31,MXN,2018-09-01
2014-08-01,{'USD': 0.0754575618},2013-08-31,MXN,2018-09-01
2014-08-04,{'USD': 0.07580909350000001},2013-08-31,MXN,2018-09-01
2014-08-05,{'USD': 0.075678916},2013-08-31,MXN,2018-09-01
2014-08-06,{'USD': 0.0751822515},2013-08-31,MXN,2018-09-01
2014-08-07,{'USD': 0.0755429224},2013-08-31,MXN,2018-09-01
2014-08-08,{'USD': 0.0755172492},2013-08-31,MXN,2018-09-01
2014-08-11,{'USD': 0.0755916717},2013-08-31,MXN,2018-09-01
2014-08-12,{'USD': 0.0757718555},2013-08-31,MXN,2018-09-01
2014-08-13,{'USD': 0.07618482800000001},2013-08-31,MXN,2018-09-01
2014-08-14,{'USD': 0.07629507070000001},2013-08-31,MXN,2018-09-01
2014-08-15,{'USD': 0.0766473922},2013-08-31,MXN,2018-09-01
2014-08-18,{'USD': 0.07659333360000001},2013-08-31,MXN,2018-09-01
2014-08-19,{'USD': 0.076604923},2013-08-31,MXN,2018-09-01
2014-08-20,{'USD': 0.0764379589},2013-08-31,MXN,2018-09-01
2014-08-21,{'USD': 0.076286347},2013-08-31,MXN,2018-09-01
2014-08-22,{'USD': 0.0762716736},2013-08-31,MXN,2018-09-01
2014-08-25,{'USD': 0.0761935547},2013-08-31,MXN,2018-09-01
2014-08-26,{'USD': 0.0762657972},2013-08-31,MXN,2018-09-01
2014-08-27,{'USD': 0.076513933},2013-08-31,MXN,2018-09-01
2014-08-28,{'USD': 0.07631678010000001},2013-08-31,MXN,2018-09-01
2014-08-29,{'USD': 0.076379558},2013-08-31,MXN,2018-09-01
2014-09-01,{'USD': 0.0764337512},2013-08-31,MXN,2018-09-01
2014-09-02,{'USD': 0.0761583443},2013-08-31,MXN,2018-09-01
2014-09-03,{'USD': 0.0764495239},2013-08-31,MXN,2018-09-01
2014-09-04,{'USD': 0.0764585279},2013-08-31,MXN,2018-09-01
2014-09-05,{'USD': 0.0760774406},2013-08-31,MXN,2018-09-01
2014-09-08,{'USD': 0.07655510880000001},2013-08-31,MXN,2018-09-01
2014-09-09,{'USD': 0.0758468249},2013-08-31,MXN,2018-09-01
2014-09-10,{'USD': 0.07554854350000001},2013-08-31,MXN,2018-09-01
2014-09-11,{'USD': 0.0756231245},2013-08-31,MXN,2018-09-01
2014-09-12,{'USD': 0.07550023060000001},2013-08-31,MXN,2018-09-01
2014-09-15,{'USD': 0.07555638790000001},2013-08-31,MXN,2018-09-01
2014-09-16,{'USD': 0.07561018330000001},2013-08-31,MXN,2018-09-01
2014-09-17,{'USD': 0.0758539127},2013-08-31,MXN,2018-09-01
2014-09-18,{'USD': 0.0753634389},2013-08-31,MXN,2018-09-01
2014-09-19,{'USD': 0.0757144625},2013-08-31,MXN,2018-09-01
2014-09-22,{'USD': 0.0755144033},2013-08-31,MXN,2018-09-01
2014-09-23,{'USD': 0.07551457930000001},2013-08-31,MXN,2018-09-01
2014-09-24,{'USD': 0.0752659777},2013-08-31,MXN,2018-09-01
2014-09-25,{'USD': 0.07485044040000001},2013-08-31,MXN,2018-09-01
2014-09-26,{'USD': 0.0747398019},2013-08-31,MXN,2018-09-01
2014-09-29,{'USD': 0.0739096279},2013-08-31,MXN,2018-09-01
2014-09-30,{'USD': 0.0740276626},2013-08-31,MXN,2018-09-01
2014-10-01,{'USD': 0.0744101741},2013-08-31,MXN,2018-09-01
2014-10-02,{'USD': 0.0745015925},2013-08-31,MXN,2018-09-01
2014-10-03,{'USD': 0.074629691},2013-08-31,MXN,2018-09-01
2014-10-06,{'USD': 0.0747720835},2013-08-31,MXN,2018-09-01
2014-10-07,{'USD': 0.0745879235},2013-08-31,MXN,2018-09-01
2014-10-08,{'USD': 0.0742282202},2013-08-31,MXN,2018-09-01
