,rates,start_at,base,end_at
2016-02-25,{'MXN': 18.1382969076},2013-08-31,USD,2018-09-01
2016-02-26,{'MXN': 18.1022169726},2013-08-31,USD,2018-09-01
2016-02-29,{'MXN': 18.1856171932},2013-08-31,USD,2018-09-01
2016-03-01,{'MXN': 18.0161883738},2013-08-31,USD,2018-09-01
2016-03-02,{'MXN': 17.8900147384},2013-08-31,USD,2018-09-01
2016-03-03,{'MXN': 17.8994587653},2013-08-31,USD,2018-09-01
2016-03-04,{'MXN': 17.8316317229},2013-08-31,USD,2018-09-01
2016-03-07,{'MXN': 17.8283575276},2013-08-31,USD,2018-09-01
2016-03-08,{'MXN': 17.8125680087},2013-08-31,USD,2018-09-01
2016-03-09,{'MXN': 17.8174610407},2013-08-31,USD,2018-09-01
2016-03-10,{'MXN': 17.6685087962},2013-08-31,USD,2018-09-01
2016-03-11,{'MXN': 17.750405771},2013-08-31,USD,2018-09-01
2016-03-14,{'MXN': 17.7756992535},2013-08-31,USD,2018-09-01
2016-03-15,{'MXN': 17.8660545504},2013-08-31,USD,2018-09-01
2016-03-16,{'MXN': 17.9406182213},2013-08-31,USD,2018-09-01
2016-03-17,{'MXN': 17.5212624878},2013-08-31,USD,2018-09-01
2016-03-18,{'MXN': 17.2606614062},2013-08-31,USD,2018-09-01
2016-03-21,{'MXN': 17.3823085795},2013-08-31,USD,2018-09-01
2016-03-22,{'MXN': 17.4527292187},2013-08-31,USD,2018-09-01
2016-03-23,{'MXN': 17.4507206159},2013-08-31,USD,2018-09-01
2016-03-24,{'MXN': 17.6686390533},2013-08-31,USD,2018-09-01
2016-03-29,{'MXN': 17.4923173128},2013-08-31,USD,2018-09-01
2016-03-30,{'MXN': 17.2448781349},2013-08-31,USD,2018-09-01
2016-03-31,{'MXN': 17.2071146245},2013-08-31,USD,2018-09-01
2016-04-01,{'MXN': 17.4069279216},2013-08-31,USD,2018-09-01
2016-04-04,{'MXN': 17.3310193322},2013-08-31,USD,2018-09-01
2016-04-05,{'MXN': 17.5915369051},2013-08-31,USD,2018-09-01
2016-04-06,{'MXN': 17.7739061397},2013-08-31,USD,2018-09-01
2016-04-07,{'MXN': 17.7559838085},2013-08-31,USD,2018-09-01
2016-04-08,{'MXN': 17.786500044},2013-08-31,USD,2018-09-01
2016-04-11,{'MXN': 17.7281826163},2013-08-31,USD,2018-09-01
2016-04-12,{'MXN': 17.5717795718},2013-08-31,USD,2018-09-01
2016-04-13,{'MXN': 17.546291379},2013-08-31,USD,2018-09-01
2016-04-14,{'MXN': 17.4773373622},2013-08-31,USD,2018-09-01
2016-04-15,{'MXN': 17.5404998228},2013-08-31,USD,2018-09-01
2016-04-18,{'MXN': 17.6050769503},2013-08-31,USD,2018-09-01
2016-04-19,{'MXN': 17.2747068677},2013-08-31,USD,2018-09-01
2016-04-20,{'MXN': 17.3178662448},2013-08-31,USD,2018-09-01
2016-04-21,{'MXN': 17.281549978},2013-08-31,USD,2018-09-01
2016-04-22,{'MXN': 17.4751842316},2013-08-31,USD,2018-09-01
2016-04-25,{'MXN': 17.5813210227},2013-08-31,USD,2018-09-01
2016-04-26,{'MXN': 17.5324709843},2013-08-31,USD,2018-09-01
2016-04-27,{'MXN': 17.3916659294},2013-08-31,USD,2018-09-01
2016-04-28,{'MXN': 17.3193343899},2013-08-31,USD,2018-09-01
2016-04-29,{'MXN': 17.1507498027},2013-08-31,USD,2018-09-01
2016-05-02,{'MXN': 17.1257287044},2013-08-31,USD,2018-09-01
2016-05-03,{'MXN': 17.4137782004},2013-08-31,USD,2018-09-01
2016-05-04,{'MXN': 17.7812255541},2013-08-31,USD,2018-09-01
2016-05-05,{'MXN': 17.6724364018},2013-08-31,USD,2018-09-01
2016-05-06,{'MXN': 17.9561564715},2013-08-31,USD,2018-09-01
2016-05-09,{'MXN': 17.9306713471},2013-08-31,USD,2018-09-01
2016-05-10,{'MXN': 18.1301098901},2013-08-31,USD,2018-09-01
2016-05-11,{'MXN': 17.9957051451},2013-08-31,USD,2018-09-01
2016-05-12,{'MXN': 17.9017473},2013-08-31,USD,2018-09-01
2016-05-13,{'MXN': 18.0499647515},2013-08-31,USD,2018-09-01
2016-05-16,{'MXN': 18.2069939951},2013-08-31,USD,2018-09-01
2016-05-17,{'MXN': 18.313748012},2013-08-31,USD,2018-09-01
2016-05-18,{'MXN': 18.4309779236},2013-08-31,USD,2018-09-01
2016-05-19,{'MXN': 18.4673573279},2013-08-31,USD,2018-09-01
2016-05-20,{'MXN': 18.4099295837},2013-08-31,USD,2018-09-01
2016-05-23,{'MXN': 18.3701292911},2013-08-31,USD,2018-09-01
2016-05-24,{'MXN': 18.4323065903},2013-08-31,USD,2018-09-01
2016-05-25,{'MXN': 18.3942221425},2013-08-31,USD,2018-09-01
2016-05-26,{'MXN': 18.368463467},2013-08-31,USD,2018-09-01
2016-05-27,{'MXN': 18.5002686246},2013-08-31,USD,2018-09-01
2016-05-30,{'MXN': 18.4728431637},2013-08-31,USD,2018-09-01
2016-05-31,{'MXN': 18.3956428187},2013-08-31,USD,2018-09-01
2016-06-01,{'MXN': 18.4831752282},2013-08-31,USD,2018-09-01
2016-06-02,{'MXN': 18.5715945656},2013-08-31,USD,2018-09-01
2016-06-03,{'MXN': 18.7200107585},2013-08-31,USD,2018-09-01
2016-06-06,{'MXN': 18.5589919817},2013-08-31,USD,2018-09-01
2016-06-07,{'MXN': 18.5682058513},2013-08-31,USD,2018-09-01
2016-06-08,{'MXN': 18.1771840394},2013-08-31,USD,2018-09-01
2016-06-09,{'MXN': 18.2285109759},2013-08-31,USD,2018-09-01
2016-06-10,{'MXN': 18.4034854919},2013-08-31,USD,2018-09-01
2016-06-13,{'MXN': 18.696485623},2013-08-31,USD,2018-09-01
2016-06-14,{'MXN': 18.9908240535},2013-08-31,USD,2018-09-01
2016-06-15,{'MXN': 18.8773820125},2013-08-31,USD,2018-09-01
2016-06-16,{'MXN': 18.9587435117},2013-08-31,USD,2018-09-01
2016-06-17,{'MXN': 18.879598365},2013-08-31,USD,2018-09-01
2016-06-20,{'MXN': 18.6104835863},2013-08-31,USD,2018-09-01
2016-06-21,{'MXN': 18.5643450592},2013-08-31,USD,2018-09-01
2016-06-22,{'MXN': 18.6163254454},2013-08-31,USD,2018-09-01
2016-06-23,{'MXN': 18.2900166828},2013-08-31,USD,2018-09-01
2016-06-24,{'MXN': 18.869600578300002},2013-08-31,USD,2018-09-01
2016-06-27,{'MXN': 19.0620112748},2013-08-31,USD,2018-09-01
2016-06-28,{'MXN': 18.949426533},2013-08-31,USD,2018-09-01
2016-06-29,{'MXN': 18.6953110911},2013-08-31,USD,2018-09-01
2016-06-30,{'MXN': 18.5864709061},2013-08-31,USD,2018-09-01
2016-07-01,{'MXN': 18.1242927705},2013-08-31,USD,2018-09-01
2016-07-04,{'MXN': 18.3373137008},2013-08-31,USD,2018-09-01
2016-07-05,{'MXN': 18.6675937556},2013-08-31,USD,2018-09-01
2016-07-06,{'MXN': 18.8837293342},2013-08-31,USD,2018-09-01
2016-07-07,{'MXN': 18.7070397112},2013-08-31,USD,2018-09-01
2016-07-08,{'MXN': 18.7855465221},2013-08-31,USD,2018-09-01
2016-07-11,{'MXN': 18.443298036},2013-08-31,USD,2018-09-01
2016-07-12,{'MXN': 18.2894879192},2013-08-31,USD,2018-09-01
2016-07-13,{'MXN': 18.3164739884},2013-08-31,USD,2018-09-01
2016-07-14,{'MXN': 18.2416420185},2013-08-31,USD,2018-09-01
2016-07-15,{'MXN': 18.3696081955},2013-08-31,USD,2018-09-01
2016-07-18,{'MXN': 18.4880123044},2013-08-31,USD,2018-09-01
2016-07-19,{'MXN': 18.4599909379},2013-08-31,USD,2018-09-01
2016-07-20,{'MXN': 18.4947788977},2013-08-31,USD,2018-09-01
2016-07-21,{'MXN': 18.6498411257},2013-08-31,USD,2018-09-01
2016-07-22,{'MXN': 18.60477574},2013-08-31,USD,2018-09-01
2016-07-25,{'MXN': 18.5812238208},2013-08-31,USD,2018-09-01
2016-07-26,{'MXN': 18.7991270346},2013-08-31,USD,2018-09-01
2016-07-27,{'MXN': 18.8213993267},2013-08-31,USD,2018-09-01
2016-07-28,{'MXN': 18.8201983769},2013-08-31,USD,2018-09-01
2016-07-29,{'MXN': 18.9227031405},2013-08-31,USD,2018-09-01
