"Label","Value"
"2017-03-11","2472326"
"2017-03-18","2168446"
"2017-03-25","2168630"
"2017-04-01","2094137"
"2017-04-08","1792418"
"2017-04-15","1177134"
"2017-04-22","2565992"
"2017-04-29","2757045"
"2017-05-06","3662082"
"2017-05-13","4341784"
"2017-05-20","2761441"
"2017-05-27","3514541"
"2017-06-03","4123714"
"2017-06-10","2592040"
"2017-06-17","2153097"
"2017-06-24","2429541"
"2017-07-01","3181351"
"2017-07-08","2275406"
"2017-07-15","2926367"
"2017-07-22","2006398"
"2017-07-29","2298469"
"2017-08-05","1782465"
"2017-08-12","2287850"
"2017-08-19","2112638"
"2017-08-26","2748282"
"2017-09-02","3238695"
"2017-09-09","3389767"
"2017-09-16","3651951"
"2017-09-23","3122680"
"2017-09-30","3764781"
"2017-10-07","2740931"
"2017-10-14","2956724"
"2017-10-21","3072472"
"2017-10-28","2810994"
"2017-11-04","5020745"
"2017-11-11","4785134"
"2017-11-18","5024236"
"2017-11-25","4165553"
"2017-12-02","7021325"
"2017-12-09","7427682"
"2017-12-16","5742706"
"2017-12-23","6635052"
"2017-12-30","4741030"
"2018-01-06","4343020"
"2018-01-13","5866354"
"2018-01-20","8089672"
"2018-01-27","8393538"
"2018-02-03","8673682"
"2018-02-10","5930150"
"2018-02-17","6663526"
"2018-02-24","9113166"
"2018-03-03","10629708"
"2018-03-10","7191950"
"2018-03-17","7161923"
"2018-03-24","7765010"
"2018-03-31","4864177"
"2018-04-07","5766672"
"2018-04-14","4513217"
"2018-04-21","5470183"
"2018-04-28","5806245"
"2018-05-05","7192855"
"2018-05-12","7928426"
"2018-05-19","5994159"
"2018-05-26","5748980"
"2018-06-02","6157415"
"2018-06-09","5298429"
"2018-06-16","7235339"
"2018-06-23","3635700"
"2018-06-30","4066193"
"2018-07-07","4558569"
"2018-07-14","6120347"
"2018-07-21","5969203"
"2018-07-28","6601906"
"2018-08-04","8584606"
"2018-08-11","5886510"
"2018-08-18","4596034"
"2018-08-25","5402110"
"2018-09-01","4472980"
"2018-09-08","6822565"
"2018-09-15","5317729"
"2018-09-22","7260208"
"2018-09-29","6680632"
"2018-10-06","5046702"
"2018-10-13","5035950"
"2018-10-20","6892963"
"2018-10-27","6720857"
"2018-11-03","4256682"
"2018-11-10","8745675"
"2018-11-17","5122413"
"2018-11-24","5256009"
"2018-12-01","5655921"
"2018-12-08","7493326"
"2018-12-15","8295989"
"2018-12-22","9340652"
"2018-12-29","5068241"
"2019-01-05","5371231"
"2019-01-12","6567811"
"2019-01-19","7417885"
"2019-01-26","7288255"
"2019-02-02","7099817"
"2019-02-09","8115689"
"2019-02-16","7452941"
"2019-02-23","6086099"
"2019-03-02","6719070"
"2019-03-09","6250882"
"2019-03-16","7774639"
"2019-03-23","6843990"
"2019-03-30","6294084"
"2019-04-06","8600944"
"2019-04-13","10766731"
"2019-04-20","5493717"
"2019-04-27","5942754"
"2019-05-04","6961977"
"2019-05-11","7383453"
"2019-05-18","8257054"
"2019-05-25","9033538"
"2019-06-01","7951629"
"2019-06-08","7941415"
"2019-06-15","9344140"
"2019-06-22","11649023"
"2019-06-29","8791632"
"2019-07-06","9470556"
"2019-07-13","7259194"
"2019-07-20","7718514"
"2019-07-27","7681748"
"2019-08-03","9954914"
"2019-08-10","9095634"
"2019-08-17","6346081"
"2019-08-24","8098398"
"2019-08-31","9020907"
"2019-09-07","7489253"
"2019-09-14","7638291"
"2019-09-21","6850404"
"2019-09-28","6759862"
"2019-10-05","5669164"
"2019-10-12","5830128"
"2019-10-19","4934694"
"2019-10-26","4984462"
"2019-11-02","5684141"
"2019-11-09","6933883"
"2019-11-16","4741804"
"2019-11-23","5234605"
"2019-11-30","5091051"
"2019-12-07","6948289"
"2019-12-14","6536039"
"2019-12-21","6614437"
"2019-12-28","3565946"
"2020-01-04","2767929"
"2020-01-11","4586882"
"2020-01-18","4052584"
"2020-01-25","3505274"
"2020-02-01","4253149"
"2020-02-08","5153582"
"2020-02-15","5369362"
"2020-02-22","5146797"
"2020-02-29","5134893"
"2020-03-07","4157531"
"2020-03-14","4309721"
"2020-03-21","5129562"
"2020-03-28","4982185"
"2020-04-04","4649739"
"2020-04-11","3807687"
"2020-04-18","6133513"
"2020-04-25","10529189"
"2020-05-02","6984285"
"2020-05-09","8446811"
"2020-05-16","5484719"
"2020-05-23","6639474"
"2020-05-30","4999056"
"2020-06-06","6406819"
"2020-06-13","5566132"
"2020-06-20","5878786"
"2020-06-27","5460819"
"2020-07-04","7256720"
"2020-07-11","10663465"
"2020-07-18","15013220"
"2020-07-25","14171085"
"2020-08-01","13413891"
"2020-08-08","11349190"
"2020-08-15","10179096"
"2020-08-22","10296992"
"2020-08-29","10603205"
"2020-09-05","7936251"
"2020-09-12","8591555"
"2020-09-19","13275130"
"2020-09-26","11587977"
"2020-10-03","12486443"
"2020-10-10","9985054"
"2020-10-17","10557513"
"2020-10-24","8464076"
"2020-10-31","14537944"
"2020-11-07","11474466"
"2020-11-14","12069190"
"2020-11-21","13039745"
"2020-11-28","11702397"
"2020-12-05","13930239"
"2020-12-12","10884135"
"2020-12-19","13964390"
"2020-12-26","12230266"
"2021-01-02","11469290"
"2021-01-09","12158837"
"2021-01-16","12634945"
"2021-01-23","10948454"
"2021-01-30","13743046"
"2021-02-06","15586373"
"2021-02-13","10996411"
"2021-02-20","16280319"
"2021-02-27","14946841"
"2021-03-06","9230443"
